Question ID,Answer,Latency
2,B,4.9868
5,A,3.6421
7,A,3.0545
9,D,3.4672
14,A,3.206
15,A,3.981
16,D,5.9871
17,A,3.6138
18,B,2.8465
19,A,3.4948
20,D,3.299
22,C,3.7862
27,A,3.119
28,C,3.304
30,C,4.2715
31,D,4.488
32,C,3.8097
35,D,3.7741
39,B,3.8729
41,B,4.6601
44,D,4.5947
45,D,3.1025
48,D,4.7206
50,B,2.5508
52,B,2.9999
56,B,3.157
57,B,4.1551
58,B,4.9007
59,B,3.2502
60,D,3.4115
61,B,3.8902
63,A,3.713
65,B,4.7739
69,A,4.1359
70,A,2.9675
72,B,3.7301
76,A,3.5586
78,D,3.3807
80,D,3.5198
81,A,2.7396
83,B,5.6325
84,B,4.0436
86,A,4.5224
87,A,4.7254
88,C,3.4441
89,A,4.2713
91,A,4.0237
93,C,4.4475
95,A,3.2585
97,B,3.1094
98,D,3.3128
99,B,4.4185
100,D,3.3139
101,C,3.2334
107,D,3.3952
108,C,4.5299
109,C,5.017
111,A,3.1495
114,C,4.7416
116,D,5.0441
117,C,5.8824
118,D,3.4248
119,A,4.374
120,A,4.6541
121,C,3.7138
123,B,4.6504
124,D,4.1344
127,B,3.4756
128,B,4.4327
131,B,4.9187
132,B,4.5224
134,A,4.08
138,C,4.0381
139,D,3.7385
142,D,2.9972
145,D,3.236
149,C,4.5999
151,B,4.6937
152,B,5.3803
153,A,4.9515
155,A,4.0146
156,A,4.1898
159,A,3.0474
160,B,4.4837
162,C,2.7713
164,D,4.8384
165,D,4.3292
172,A,3.4213
175,A,3.1817
176,A,4.8408
177,C,3.4349
178,B,3.2255
183,A,4.0505
185,D,3.7357
186,A,3.0927
188,D,2.8869
192,C,5.2943
194,C,3.1663
195,C,3.5377
196,A,4.1561
197,C,3.4756
204,C,3.2081
205,A,3.0316
206,A,3.688
207,A,3.9922
209,B,4.6118
213,B,2.8179
214,A,3.3532
215,D,2.8064
217,D,5.2966
230,C,3.4348
231,C,4.8438
233,B,3.063
235,D,3.8794
236,B,3.996
238,C,3.3609
240,D,3.7145
242,C,4.8972
244,C,3.351
246,A,2.8338
247,C,3.6573
248,A,3.6409
251,C,4.3324
254,B,4.8633
255,A,4.0063
256,A,2.8475
258,A,6.8186
259,B,3.2132
260,D,3.5977
261,C,3.2886
262,C,3.5119
265,C,3.4706
266,D,3.5264
267,B,3.679
270,B,4.5602
272,A,4.3152
273,A,3.082
274,B,3.1656
275,B,4.1886
