Question ID,Answer,Latency
2,B,37.8367
5,A,4.8171
7,A,5.396
8,A,3.709
9,A,3.9221
14,A,3.0809
15,C,3.3826
17,A,4.1653
18,B,3.7071
19,A,4.3735
20,D,3.96
22,D,3.3019
27,D,4.8004
28,C,4.6855
30,C,6.8655
31,B,4.1727
32,C,4.2475
34,D,3.5552
35,A,2.9458
39,B,4.5993
41,A,4.4601
44,A,5.6005
45,D,4.7684
48,D,4.5335
50,A,5.9354
51,C,4.0643
52,B,4.8389
56,B,4.7419
58,B,4.9725
59,B,4.5427
60,B,16.1014
61,B,3.4179
63,A,3.6999
65,D,3.2691
69,A,4.0984
70,B,5.135
72,B,3.4214
76,B,3.6998
78,D,3.057
80,A,3.8726
81,B,3.9923
84,B,5.0336
86,A,3.6004
87,A,4.283
88,B,3.7729
89,B,3.7364
93,B,4.5772
95,B,4.8812
97,B,4.4888
98,A,4.5828
99,B,4.2514
100,A,5.7536
101,A,3.5922
108,A,5.0564
109,D,5.558
111,C,3.8627
114,A,4.434
116,A,4.0959
117,C,6.2543
118,D,4.5206
119,A,4.0861
120,A,4.4743
121,C,4.0131
123,B,3.2621
124,D,3.9518
127,B,3.1607
131,B,3.0081
132,A,5.0328
134,A,5.0195
138,A,3.841
139,D,6.577
142,D,4.195
145,A,3.4342
147,B,3.1946
151,A,2.8925
152,A,6.3647
153,A,3.8757
155,A,5.0702
156,A,5.0803
159,C,4.3492
160,B,4.7252
164,A,4.4096
165,D,4.3316
167,D,4.356
172,D,5.3783
175,A,3.9541
176,A,5.9689
177,A,4.0622
178,B,9.0451
183,C,4.8416
185,D,5.5726
186,A,4.4768
188,D,5.8083
191,A,5.2714
192,C,6.2391
195,C,3.9761
196,A,4.6001
197,C,2.9246
203,D,4.5723
205,A,4.1129
206,A,4.6529
207,A,4.0239
209,A,3.8754
210,A,2.8104
213,B,5.0523
214,A,8.3725
215,A,3.9052
217,C,4.6658
228,A,5.468
230,B,4.7417
231,C,3.6104
232,A,3.8663
233,B,4.5867
235,D,5.9941
236,A,4.0396
238,A,3.554
240,D,4.5903
242,C,4.1372
244,C,5.095
246,A,4.3021
247,C,10.2618
248,A,4.5912
254,A,3.0526
255,A,4.5585
257,C,3.8908
260,A,4.8352
261,C,3.5756
262,B,5.1564
265,C,4.6159
266,D,3.1358
267,B,4.4667
270,B,4.4321
272,B,3.8848
273,A,3.9268
274,B,3.7909
275,B,4.1061
277,A,4.5483
279,B,5.017
283,D,5.0612
284,B,3.785
285,C,6.2477
286,B,4.6544
289,C,3.0652
291,A,4.2626
298,A,4.599
300,A,4.7516
305,A,4.4616
308,A,3.3186
310,B,5.5816
311,B,4.4698
312,A,3.8819
313,C,3.3421
314,B,4.8701
315,A,5.4171
317,C,3.6743
319,B,3.8182
320,A,3.9198
322,A,3.6919
323,C,3.9627
324,A,6.7759
325,C,4.6018
329,A,4.4828
332,C,4.0566
336,C,4.0294
343,A,3.8957
344,A,3.8057
345,A,5.2908
346,D,3.9269
350,B,5.16
352,A,3.8236
353,C,3.9386
354,A,3.8076
359,A,4.6923
362,B,3.1402
363,B,3.8652
364,C,3.4078
365,C,3.6661
367,A,6.0074
370,B,4.064
371,A,3.5138
372,B,6.6236
374,C,4.8622
376,B,3.59
380,B,3.7051
381,A,4.6245
382,A,3.1457
383,B,5.0705
384,A,4.7778
387,A,5.1069
388,B,4.4964
390,A,4.8981
391,B,3.637
393,B,3.6078
395,B,4.0439
396,D,3.3596
403,A,3.7252
404,B,3.7214
405,A,5.3926
406,A,3.8762
409,B,3.9544
410,B,6.2351
412,A,5.2877
416,C,3.2574
417,A,5.0349
419,A,3.8213
420,A,5.0614
423,C,4.5024
426,C,5.3741
430,B,4.4903
431,B,4.427
433,A,3.6952
434,B,4.2478
435,B,4.0295
437,A,3.4998
439,A,3.2509
446,C,4.9859
453,A,4.8786
456,A,4.0731
457,B,3.649
459,C,4.596
461,A,4.6864
462,A,3.8101
463,D,4.7194
467,A,5.1045
468,A,3.8387
470,D,4.6601
471,A,12.4705
476,A,4.5235
480,D,3.6569
482,B,4.3429
483,C,5.4766
487,A,4.2688
488,A,5.3469
490,A,3.9973
491,C,4.6457
494,B,13.2094
496,D,5.7453
497,C,3.5277
499,A,5.5256
500,B,3.8189
501,D,4.2625
502,C,5.2995
503,C,4.4229
509,A,4.1903
513,B,4.9605
514,A,3.0906
520,B,14.6334
521,A,4.9565
522,A,5.2833
527,C,4.6613
529,A,5.6163
531,D,5.924
533,B,5.7544
536,B,5.5571
537,C,5.5711
538,A,4.6184
541,D,3.2793
542,A,5.9072
544,D,3.8553
546,C,3.7745
547,A,5.417
549,D,4.6183
553,B,3.8987
554,A,3.7947
555,A,4.1569
558,A,3.4803
560,C,3.6709
561,C,4.9817
562,A,4.0002
563,B,5.5667
564,C,4.5209
567,A,4.8791
568,B,4.0847
569,C,5.3069
571,A,4.5396
575,A,4.488
580,B,3.8498
581,A,4.6108
582,C,3.6886
584,C,5.6252
585,C,6.0617
587,B,5.9463
589,A,6.3428
590,C,6.4933
591,A,3.4276
592,A,7.1798
593,A,4.6797
597,A,4.6395
598,C,5.9305
599,C,5.2997
600,A,4.3012
601,A,4.4291
602,A,4.7241
605,B,8.1099
606,A,4.7103
607,C,5.403
608,A,6.1915
610,B,4.8138
615,A,3.5873
617,A,5.5375
618,D,4.7214
621,D,6.4595
622,D,4.4276
623,A,5.1808
624,A,5.6951
628,A,4.2252
629,C,3.9946
631,A,4.9865
634,A,4.5346
635,C,5.48
636,C,4.4734
637,D,4.3336
638,A,4.3696
639,C,4.551
641,A,5.1591
646,D,3.5453
647,A,4.6847
650,B,5.0752
651,D,3.831
652,B,5.1986
653,A,3.6007
658,B,4.5477
